"ï..credit_in_millions","Period"
1.7995,2036 Aug
1.8006,2036 Sep
1.8006,2036 Oct
1.8018,2036 Nov
1.8029,2036 Dec
1.8041,2037 Jan
1.8047,2037 Feb
1.8069,2037 Mar
1.8073,2037 Apr
1.8075,2037 May
1.8092,2037 Jun
1.8099,2037 Jul
1.8109,2037 Aug
1.8133,2037 Sep
1.815,2037 Oct
1.8191,2037 Nov
1.8194,2037 Dec
1.8198,2038 Jan
1.8252,2038 Feb
1.8332,2038 Mar
1.8343,2038 Apr
1.8377,2038 May
1.8382,2038 Jun
1.8391,2038 Jul
1.8398,2038 Aug
1.8425,2038 Sep
1.8439,2038 Oct
1.8446,2038 Nov
1.8447,2038 Dec
1.845,2039 Jan
1.8469,2039 Feb
1.8469,2039 Mar
1.8472,2039 Apr
1.8693,2039 May
1.8712,2039 Jun
1.8734,2039 Jul
1.8736,2039 Aug
1.8793,2039 Sep
1.8803,2039 Oct
1.8806,2039 Nov
1.8957,2039 Dec
